verb	abdykować	arg	Attribute	stanowisko 5 władza 1	prepnp(sem,z,gen)
verb	abdykować	arg	Attribute	stanowisko 5 władza 1	xp(abl)[]
verb	abdykować	arg	Recipient	PODMIOTY	comprepnp(sem,na rzecz)
verb	abdykować	subj	Initiator	człowiek 1	np(str)
verb	abonować	arg	Initiator Source	PODMIOTY	prepnp(sem,u,gen)
verb	abonować	arg	Initiator Source	PODMIOTY	prepnp(sem,w,loc)
verb	abonować	obj	Theme	WYTWÓR	np(str)
verb	abonować	subj	Initiator Goal	PODMIOTY	np(str)
verb	absolutyzować	arg	Theme	KOMUNIKAT KONCEPCJA	cp,_[że]
verb	absolutyzować	obj	Theme	KOMUNIKAT KONCEPCJA	ncp(str),_[że]
verb	absolutyzować	obj	Theme	KOMUNIKAT KONCEPCJA	np(str)
verb	absolutyzować	subj	Initiator	LUDZIE PODMIOTY	np(str)
verb	absolutyzować się	subj	Theme	KOMUNIKAT KONCEPCJA	np(str)
verb	absorbować	arg	Experiencer	LUDZIE	np(str)
verb	absorbować	arg	Location Source	żywioł 1	xp(abl)[]
verb	absorbować	arg	Path	powierzchnia 2 REL	prepnp(sem,przez,acc)
verb	absorbować	arg	Stimulus Background	REL	ncp(inst),_[że]
verb	absorbować	arg	Stimulus Background	REL	ncp(inst),_[żeby]
verb	absorbować	arg	Stimulus Background	REL	ncp(inst),int[]
verb	absorbować	arg	Stimulus Background	REL	np(inst)
verb	absorbować	obj	Experiencer	LUDZIE	np(str)
verb	absorbować	obj	Theme Source	substancja 1	np(str)
verb	absorbować	subj	Factor	LUDZIE	np(str)
verb	absorbować	subj	Stimulus	dziedzina 1 sztuka 1 działalność 1 zajęcie 13	ncp(str),_[że]
verb	absorbować	subj	Stimulus	dziedzina 1 sztuka 1 działalność 1 zajęcie 13	ncp(str),_[żeby]
verb	absorbować	subj	Stimulus	dziedzina 1 sztuka 1 działalność 1 zajęcie 13	ncp(str),int[]
verb	absorbować	subj	Stimulus	dziedzina 1 sztuka 1 działalność 1 zajęcie 13	np(str)
verb	absorbować	subj	Stimulus Foreground	ISTOTY OBIEKTY SYTUACJA	cp,_[że]
verb	absorbować	subj	Stimulus Foreground	ISTOTY OBIEKTY SYTUACJA	cp,_[żeby]
verb	absorbować	subj	Stimulus Foreground	ISTOTY OBIEKTY SYTUACJA	cp,int[]
verb	absorbować	subj	Stimulus Foreground	ISTOTY OBIEKTY SYTUACJA	ncp(str),_[że]
verb	absorbować	subj	Stimulus Foreground	ISTOTY OBIEKTY SYTUACJA	ncp(str),_[żeby]
verb	absorbować	subj	Stimulus Foreground	ISTOTY OBIEKTY SYTUACJA	ncp(str),int[]
verb	absorbować	subj	Stimulus Foreground	ISTOTY OBIEKTY SYTUACJA	np(str)
verb	absorbować	subj	Theme Goal	ciało 3	np(str)
verb	absorbować się	arg	Path	powierzchnia 2 REL	prepnp(sem,przez,acc)
verb	absorbować się	arg	Stimulus	dziedzina 1 sztuka 1 działalność 1 zajęcie 13	np(inst)
verb	absorbować się	arg	Theme Goal	ciało 3	xp(adl)[prepnp(sem,do,gen)]
verb	absorbować się	arg	Theme Goal	ciało 3	xp(locat)[]
verb	absorbować się	subj	Experiencer	LUDZIE	np(str)
verb	absorbować się	subj	Theme Source	substancja 1	np(str)
