hu	i	i	ε
hu	i	j	samogłoska
hu	y	i	
hu	zs	ż	
hu	cs	cz	
hu	s	sz	ε
hu	ú	u	
es	í	i
es	y	j	
es	c	k	a
es	c	k	o
es	c	s	e
es	c	cz	i
es	v	w	
es	ch	cz	samogłoska
es	ch	k	ε
es	é	e	
es	qu	k
es	á	a
es	ñ	ń	
de	y	i	ε
de	ü	i	
de	ä	e	
de	ö	e	
de	z	c	
de	tz	c
de	sch	sz	
de	tzsch	cz
de	s	z	
de	eu	oj	
de	ei	aj	
de	u	ł	ε
de	th	t	
de	ie	i	
de	ß	s	
de	v	f	
de	h		spółgłoska
it	gh	g	
it	v	w	
it	z	c	
it	c	k	a
it	c	k	o
it	c	cz	e
it	c	cz	i
it	g	dż	e
it	g	dż	i
it	ch	k	a
it	ch	k	o
it	ch	cz	e
it	ch	cz	i
it	s	z	
it	qu	kł	
is	ð	d	
is	Þ	d	
da	ø	o	
la	ae	e	
la	x	ks	
la	th	t	
sv	ö	o	
sv	å	o	
cz	ř	rz	
cz	ě	e	
nb	ö	o	
nl	ee	e	
nl	x	ks	
nl	ckx	ks	
zh	x	ś	
zh	j	k	
zh	q	ć	
zh	ch	cz	
pt	í	i	
pt	á	a	
pt	ç	s	
pt	h		
fi	ö	o	
lv	ā	a	
ja	ū	u	
ko	ŏ	o	
tr	ü	ju	
tr	ı	i	
vi	h		
vo	ü	i	
ur	h		
ch	ñ	ń	
en	e		ε
en	h		ε
en	ey	ej	
en	ay	ej	
en	oy	oj
en	ky	ki	
en	i	aj	spółgłoska
en	ie	i	
en	w	ł	
en	ae	e	
en	ae	i	
en	ck	k	
en	c	s	e
en	c	k	
en	th	t	
en	th	s	
en	th	f	
en	v	w	
en	dg	dż	
en	gh		ε
en	oe	oł	
en	h		ε
en	ace	ejs	
en	die	daj	
en	pie	paj	
en	x	ks	
en	ou	u	
en	es	s	ε
en	ee	i	
en	oo	u	
en	ll	l	
en	tt	t	
en	ss	s	
en	nn	n	
en	gg	g	
en	es	s	
en	ë	e	
en	aw	oł	ε
en	ge	dż	ε
en	j	dż	
en	ch	cz	
en	sh	sz	
en	kh	k	
en	ph	f	
fr	e		ε
fr	s		ε
fr	es		ε
fr	ues		ε
fr	ai	e	
fr 	g		ε
fr	ll	j	
fr	ll	l	
fr	nn	n	
fr	g	ż	e
fr	gn	ń	
fr	ph	f	
fr	eu	e	
fr	é	e
fr	ée	e
fr	è	e	
fr	ô	o	
fr	ai	e	
fr	ay	e	
fr	ain	ę	
fr	ou	u	
fr	oi	ła	
fr	oy	ła	
fr	bvr	br	
fr	rr	r	
fr	ure	jur	
fr	in	ę	
fr	en	ą
fr	an	ą	
fr	ch	sz	
fr	ch	k	
fr	u	i	ε
fr	rt	r	ε
fr	qu	k	
fr	ai	e	
fr	h		
