adj-sup	adj:sg:nom.voc:n1.n2:sup	Ca
adj-sup	adj:sg:nom.voc:m1.m2.m3:sup	Cb
adj-sup	adj:sg:nom.voc:f:sup	Cc
adj-sup	adj:sg:loc:m1.m2.m3.n1.n2:sup	Cd
adj-sup	adj:sg:loc:f:sup	Ce
adj-sup	adj:sg:inst:m1.m2.m3.n1.n2:sup	Cf
adj-sup	adj:sg:inst:f:sup	Cg
adj-sup	adj:sg:gen:m1.m2.m3.n1.n2:sup	Ch
adj-sup	adj:sg:gen:f:sup	Ci
adj-sup	adj:sg:dat:m1.m2.m3.n1.n2:sup	Cj
adj-sup	adj:sg:dat:f:sup	Ck
adj-sup	adj:sg:acc:n1.n2:sup	Cl
adj-sup	adj:sg:acc:m3:sup	Cm
adj-sup	adj:sg:acc:m1.m2:sup	Cn
adj-sup	adj:sg:acc:f:sup	Co
adj-sup	adj:pl:nom.voc:m2.m3.f.n1.n2.p2.p3:sup	Cp
adj-sup	adj:pl:nom.voc:m1.p1:sup	Cq
adj-sup	adj:pl:loc:m1.m2.m3.f.n1.n2.p1.p2.p3:sup	Cr
adj-sup	adj:pl:inst:m1.m2.m3.f.n1.n2.p1.p2.p3:sup	Cs
adj-sup	adj:pl:gen:m1.m2.m3.f.n1.n2.p1.p2.p3:sup	Ct
adj-sup	adj:pl:dat:m1.m2.m3.f.n1.n2.p1.p2.p3:sup	Cu
adj-sup	adj:pl:acc:m2.m3.f.n1.n2.p2.p3:sup	Cv
adj-sup	adj:pl:acc:m1.p1:sup	Cw
verb-neg	ppas:sg:nom.voc:m1.m2.m3:perf:neg	Ua
verb-neg	ppas:sg:nom.voc:m1.m2.m3:imperf:neg	Ua
verb-neg	ppas:sg:nom.voc:m1.m2.m3:imperf.perf:neg	Ua
verb-neg	ppas:sg:nom.voc:f:perf:neg	Ub
verb-neg	ppas:sg:nom.voc:f:imperf:neg	Ub
verb-neg	ppas:sg:nom.voc:f:imperf.perf:neg	Ub
verb-neg	ppas:sg:nom.acc.voc:n1.n2:perf:neg	Uc
verb-neg	ppas:sg:nom.acc.voc:n1.n2:imperf:neg	Uc
verb-neg	ppas:sg:nom.acc.voc:n1.n2:imperf.perf:neg	Uc
verb-neg	ppas:sg:inst.loc:m1.m2.m3.n1.n2:perf:neg	Ud
verb-neg	ppas:sg:inst.loc:m1.m2.m3.n1.n2:imperf:neg	Ud
verb-neg	ppas:sg:inst.loc:m1.m2.m3.n1.n2:imperf.perf:neg	Ud
verb-neg	ppas:sg:gen:m1.m2.m3.n1.n2:perf:neg	Ue
verb-neg	ppas:sg:gen:m1.m2.m3.n1.n2:imperf:neg	Ue
verb-neg	ppas:sg:gen:m1.m2.m3.n1.n2:imperf.perf:neg	Ue
verb-neg	ppas:sg:gen.dat.loc:f:perf:neg	Uf
verb-neg	ppas:sg:gen.dat.loc:f:imperf:neg	Uf
verb-neg	ppas:sg:gen.dat.loc:f:imperf.perf:neg	Uf
verb-neg	ppas:sg:dat:m1.m2.m3.n1.n2:perf:neg	Ug
verb-neg	ppas:sg:dat:m1.m2.m3.n1.n2:imperf:neg	Ug
verb-neg	ppas:sg:dat:m1.m2.m3.n1.n2:imperf.perf:neg	Ug
verb-neg	ppas:sg:acc:m3:perf:neg	Uh
verb-neg	ppas:sg:acc:m3:imperf:neg	Uh
verb-neg	ppas:sg:acc:m3:imperf.perf:neg	Uh
verb-neg	ppas:sg:acc:m1.m2:perf:neg	Ui
verb-neg	ppas:sg:acc:m1.m2:imperf:neg	Ui
verb-neg	ppas:sg:acc:m1.m2:imperf.perf:neg	Ui
verb-neg	ppas:sg:acc.inst:f:perf:neg	Uj
verb-neg	ppas:sg:acc.inst:f:imperf:neg	Uj
verb-neg	ppas:sg:acc.inst:f:imperf.perf:neg	Uj
verb-neg	ppas:pl:nom.voc:m1.p1:perf:neg	Uk
verb-neg	ppas:pl:nom.voc:m1.p1:imperf:neg	Uk
verb-neg	ppas:pl:nom.voc:m1.p1:imperf.perf:neg	Uk
verb-neg	ppas:pl:nom.acc.voc:m2.m3.f.n1.n2.p2.p3:perf:neg	Ul
verb-neg	ppas:pl:nom.acc.voc:m2.m3.f.n1.n2.p2.p3:imperf:neg	Ul
verb-neg	ppas:pl:nom.acc.voc:m2.m3.f.n1.n2.p2.p3:imperf.perf:neg	Ul
verb-neg	ppas:pl:inst:m1.m2.m3.f.n1.n2.p1.p2.p3:perf:neg	Um
verb-neg	ppas:pl:inst:m1.m2.m3.f.n1.n2.p1.p2.p3:imperf:neg	Um
verb-neg	ppas:pl:inst:m1.m2.m3.f.n1.n2.p1.p2.p3:imperf.perf:neg	Um
verb-neg	ppas:pl:gen.loc:m1.m2.m3.f.n1.n2.p1.p2.p3:perf:neg	Un
verb-neg	ppas:pl:gen.loc:m1.m2.m3.f.n1.n2.p1.p2.p3:imperf:neg	Un
verb-neg	ppas:pl:gen.loc:m1.m2.m3.f.n1.n2.p1.p2.p3:imperf.perf:neg	Un
verb-neg	ppas:pl:dat:m1.m2.m3.f.n1.n2.p1.p2.p3:perf:neg	Uo
verb-neg	ppas:pl:dat:m1.m2.m3.f.n1.n2.p1.p2.p3:imperf:neg	Uo
verb-neg	ppas:pl:dat:m1.m2.m3.f.n1.n2.p1.p2.p3:imperf.perf:neg	Uo
verb-neg	ppas:pl:acc:m1.p1:perf:neg	Up
verb-neg	ppas:pl:acc:m1.p1:imperf:neg	Up
verb-neg	ppas:pl:acc:m1.p1:imperf.perf:neg	Up
verb-neg	pact:sg:nom.voc:m1.m2.m3:imperf:neg	Va
verb-neg	pact:sg:nom.voc:m1.m2.m3:imperf.perf:neg	Va
verb-neg	pact:sg:nom.voc:f:imperf:neg	Vb
verb-neg	pact:sg:nom.voc:f:imperf.perf:neg	Vb
verb-neg	pact:sg:nom.acc.voc:n1.n2:imperf:neg	Vc
verb-neg	pact:sg:nom.acc.voc:n1.n2:imperf.perf:neg	Vc
