	0.004198	3970
ki	0.000888	840
ka	0.000733	693
n	0.000581	549
k	0.000498	471
na	0.000426	403
s	0.000396	374
kiego	0.000319	302
ra	0.000304	287
t	0.000295	279
er	0.000278	263
ek	0.000239	226
cz	0.000233	220
wa	0.000204	193
d	0.000199	188
r	0.000198	187
l	0.000196	185
ta	0.000168	159
da	0.000155	147
la	0.000154	146
sa	0.000150	142
ny	0.000142	134
nie	0.000137	130
ko	0.000118	112
g	0.000114	108
kiej	0.000113	107
m	0.000107	101
el	0.000098	93
cza	0.000097	92
c	0.000096	91
ca	0.000095	90
nych	0.000093	88
ne	0.000092	87
w	0.000081	77
en	0.000079	75
ku	0.000077	73
wy	0.000074	70
ga	0.000074	70
kim	0.000072	68
ce	0.000072	68
ką	0.000071	67
kich	0.000071	67
nia	0.000070	66
ch	0.000069	65
ma	0.000067	63
le	0.000066	62
cy	0.000066	62
ni	0.000062	59
f	0.000062	59
no	0.000061	58
ry	0.000058	55
nej	0.000057	54
li	0.000057	54
h	0.000057	54
wej	0.000056	53
ty	0.000056	53
z	0.000054	51
wie	0.000054	51
we	0.000054	51
cha	0.000054	51
ła	0.000053	50
x	0.000053	50
e	0.000051	48
kiem	0.000050	47
kie	0.000050	47
p	0.000049	46
kę	0.000049	46
ew	0.000049	46
u	0.000048	45
nem	0.000047	44
sz	0.000044	42
wo	0.000043	41
ba	0.000042	40
iel	0.000041	39
wych	0.000039	37
ną	0.000037	35
ków	0.000037	35
za	0.000036	34
cach	0.000036	34
pa	0.000034	32
ś	0.000033	31
ro	0.000033	31
wą	0.000032	30
sza	0.000032	30
rem	0.000032	30
lo	0.000032	30
cie	0.000032	30
ć	0.000031	29
ów	0.000031	29
te	0.000031	29
rze	0.000031	29
lu	0.000031	29
dy	0.000031	29
b	0.000031	29
to	0.000030	28
ier	0.000030	28
et	0.000030	28
anie	0.000030	28
wego	0.000029	27
tu	0.000029	27
re	0.000029	27
nego	0.000029	27
rz	0.000027	26
nym	0.000027	26
ń	0.000026	25
iec	0.000025	24
sie	0.000024	23
owie	0.000024	23
nę	0.000024	23
nus	0.000024	23
