"anonimizujące"	"anonimizować"	"pact:pl:acc:m3:imperf:aff"	1	"COMPOS"	"NON-SGJP"	"CW"	"CORR"
"aspektowany"	"apektować"	"ppas:sg:nom:m3:imperf:aff"	1	"NCOMPOS"	"NON-SGJP"	"CW"	"CORR"
"bootującej"	"bootować"	"pact:sg:gen:f:imperf:aff"	1	"COMPOS"	"NON-SGJP"	"CW"	"CORR"
"bywali"	"bywać"	"praet:pl:m3:imperf"	1	"NCOMPOS"	"NON-SGJP"	"CW"	"CORR"
"charchać"	"charchać"	"inf:imperf"	1	"COMPOS"	"NON-SGJP"	"CW"	"CORR"
"crosspostowany"	"crosspostować"	"ppas:sg:nom:m3:imperf:aff"	1	"COMPOS"	"NON-SGJP"	"CW"	"CORR"
"czymnął"	"czymnąć"	"praet:sg:m1:perf"	1	"COMPOS"	"NON-SGJP"	"CW"	"CORR"
"dopajane"	"dopajać"	"ppas:sg:nom:n:imperf:aff"	1	"COMPOS"	"NON-SGJP"	"CW"	"CORR"
"doporozumieć"	"doporozumieć"	"inf:perf"	1	"COMPOS"	"NON-SGJP"	"CW"	"CORR"
"dostrzyknięcie"	"dostrzykiwać"	"ger:sg:nom:n:perf:aff"	1	"NCOMPOS"	"NON-SGJP"	"CW"	"CORR"
"dotłuszczania"	"dotłuszczać"	"ger:pl:nom:n:imperf:aff"	1	"COMPOS"	"NON-SGJP"	"CW"	"CORR"
"drefię"	"drefić"	"fin:sg:pri:imperf"	1	"COMPOS"	"NON-SGJP"	"CW"	"CORR"
"drefisz"	"drefić"	"fin:sg:sec:imperf"	1	"COMPOS"	"NON-SGJP"	"CW"	"CORR"
"duszając"	"duszać"	"pcon:imperf"	1	"COMPOS"	"NON-SGJP"	"CW"	"CORR"
"dziamaj"	"dziamać"	"fin:sg:sec:imperf"	1	"NCOMPOS"	"NON-SGJP"	"CW"	"CORR"
"dziejać"	"dziejać"	"inf:imperf"	1	"COMPOS"	"NON-SGJP"	"CW"	"CORR"
"elidowane"	"elidować"	"ppas:pl:nom:n:imperf:aff"	1	"COMPOS"	"NON-SGJP"	"CW"	"CORR"
"emigrował"	"emigrować"	"praet:sg:m1:perf"	1	"COMPOS"	"NON-SGJP"	"CW"	"CORR"
"fikołkując"	"fikołkować"	"pcon:imperf"	1	"COMPOS"	"NON-SGJP"	"CW"	"CORR"
"glebnęła"	"glebnąć"	"praet:sg:f:perf"	1	"COMPOS"	"NON-SGJP"	"CW"	"CORR"
"gruchniem"	"gruchnąć"	"fin:pl:pri:perf"	1	"NCOMPOS"	"NON-SGJP"	"CW"	"CORR"
